Job_Role,Required_Skills
Machine Learning Engineer,"aws, python, flask, docker, pytorch, model deployment"
iOS Developer,"swift, ios, swiftui, firebase"
Network Engineer,"linux, routing, cisco, switching, network security, vpn, tcp/ip, firewalls"
Backend Developer,"microservices, redis, rest api, postgresql"
Full Stack Developer,"nodejs, docker, django, javascript, mongodb, rest api, tailwind, python"
Android Developer,"java, sqlite, kotlin, jetpack compose, rest api, firebase, android studio"
Machine Learning Engineer,"mlops, aws, pytorch, kubernetes, flask"
Data Scientist,"nlp, scikit-learn, tensorflow, numpy"
Network Engineer,"cisco, switching, routing, vpn, network security"
AI Engineer,"tensorflow, huggingface, vector databases, deep learning, rag"
Database Administrator,"mysql, postgresql, performance optimization, database tuning"
Mobile App Developer,"dart, mobile ui, swift, react native"
Computer Vision Engineer,"image processing, tensorflow, opencv, deep learning, cnn, object detection, yolo"
iOS Developer,"xcode, core data, firebase, api integration, swift, swiftui, ios"
Embedded Systems Engineer,"microcontrollers, iot, c++, embedded linux, raspberry pi, arduino"
UI/UX Designer,"responsive design, design systems, adobe xd, wireframing, user research"
Data Analyst,"tableau, excel, dashboarding, power bi, python, data visualization, pandas, statistics"
DevOps Engineer,"kubernetes, bash, terraform, linux"
Embedded Systems Engineer,"c++, arduino, raspberry pi, c, iot"
Mobile App Developer,"api integration, kotlin, firebase, flutter, dart"
Data Analyst,"data visualization, dashboarding, tableau, python"
AI Engineer,"langchain, tensorflow, prompt engineering, nlp, vector databases"
Software Tester,"jira, manual testing, selenium, automation testing, api testing, test cases"
Data Analyst,"power bi, pandas, data visualization, sql, dashboarding, statistics"
Machine Learning Engineer,"fastapi, model deployment, kubernetes, aws"
Database Administrator,"performance optimization, database tuning, backup recovery, sql, mysql"
iOS Developer,"swift, xcode, swiftui, api integration, core data, ios"
iOS Developer,"api integration, swiftui, firebase, xcode, core data"
UI/UX Designer,"prototyping, responsive design, user research, adobe xd, design systems"
Machine Learning Engineer,"docker, python, aws, deep learning, kubernetes"
AI Engineer,"huggingface, vector databases, llms, prompt engineering"
Network Engineer,"network security, vpn, tcp/ip, linux, routing, firewalls, cisco, switching"
Game Developer,"c++, c#, unreal engine, blender, multiplayer networking, unity, 3d graphics"
Business Analyst,"data analysis, excel, communication, jira, sql, requirement gathering, power bi"
Full Stack Developer,"sql, python, javascript, nodejs"
iOS Developer,"swiftui, xcode, api integration, swift"
Cybersecurity Analyst,"linux, wireshark, penetration testing, ethical hacking"
Data Analyst,"python, statistics, sql, tableau"
Network Engineer,"network security, vpn, linux, tcp/ip, firewalls, routing"
UI/UX Designer,"wireframing, adobe xd, prototyping, responsive design, figma, user research"
Data Scientist,"pandas, machine learning, seaborn, tensorflow, sql, nlp, scikit-learn"
Backend Developer,"redis, python, nodejs, rest api, postgresql"
Data Analyst,"excel, pandas, power bi, sql"
Database Administrator,"database tuning, mysql, performance optimization, sql, oracle, backup recovery"
Business Analyst,"documentation, data analysis, jira, power bi, communication, excel, requirement gathering"
AR/VR Developer,"arkit, c#, 3d modeling, unreal engine, arcore"
Network Engineer,"firewalls, cisco, switching, linux, tcp/ip, network security, vpn"
Backend Developer,"redis, microservices, python, flask, nodejs, mongodb"
AR/VR Developer,"3d modeling, unity, vr interaction, arkit"
AI Engineer,"langchain, llms, deep learning, openai api, python, rag"
Business Analyst,"communication, power bi, sql, excel, data analysis"
Business Analyst,"communication, excel, power bi, jira, documentation"
Android Developer,"android studio, sqlite, kotlin, java, material design"
Database Administrator,"performance optimization, database tuning, sql, mysql, oracle, backup recovery, postgresql"
Cloud Architect,"aws, azure, kubernetes, ci/cd"
Mobile App Developer,"kotlin, react native, firebase, swift, ios, api integration"
Database Administrator,"postgresql, mysql, database tuning, oracle, backup recovery, sql, performance optimization"
AR/VR Developer,"unity, unreal engine, vr interaction, 3d modeling, arkit, arcore, c#"
Blockchain Developer,"rust, polygon, hardhat, smart contracts, web3, ethereum, solidity, blockchain security"
Cybersecurity Analyst,"soc, vulnerability assessment, siem, linux, cryptography, penetration testing, network security, wireshark"
Android Developer,"sqlite, firebase, material design, rest api, android studio, jetpack compose, kotlin, java"
Android Developer,"android studio, material design, firebase, jetpack compose, java, sqlite"
Android Developer,"material design, android studio, jetpack compose, java"
Full Stack Developer,"mongodb, express, python, tailwind, react, sql, javascript, django"
Mobile App Developer,"ios, firebase, mobile ui, react native, api integration, dart, swift, kotlin"
Site Reliability Engineer,"aws, linux, prometheus, docker, terraform, incident management, monitoring, kubernetes"
UI/UX Designer,"adobe xd, responsive design, wireframing, prototyping, figma, user research"
Frontend Developer,"figma, react, nextjs, responsive design, tailwind, css, html"
AR/VR Developer,"arkit, unity, c#, 3d modeling, vr interaction"
Data Scientist,"feature engineering, scikit-learn, machine learning, statistics, matplotlib"
Computer Vision Engineer,"yolo, deep learning, tensorflow, cnn, object detection"
DevOps Engineer,"bash, prometheus, linux, github actions, kubernetes, aws, monitoring, docker"
Cloud Architect,"docker, ci/cd, microservices, kubernetes, terraform, aws, cloud security, gcp"
QA Engineer,"selenium, postman, api testing, automation testing"
UI/UX Designer,"adobe xd, figma, prototyping, wireframing, responsive design"
Site Reliability Engineer,"linux, terraform, incident management, docker, kubernetes, monitoring, prometheus, aws"
Computer Vision Engineer,"tensorflow, cnn, image processing, python, deep learning, yolo, opencv"
Computer Vision Engineer,"cnn, deep learning, object detection, image processing, yolo, opencv"
Game Developer,"c#, c++, multiplayer networking, 3d graphics"
Data Analyst,"dashboarding, power bi, statistics, python, data visualization, pandas, tableau"
Business Analyst,"power bi, communication, documentation, sql, data analysis, requirement gathering, excel"
QA Engineer,"cypress, api testing, automation testing, selenium, postman, performance testing"
Backend Developer,"rest api, spring boot, mongodb, flask, django, java"
Mobile App Developer,"firebase, react native, ios, android"
Data Scientist,"machine learning, python, feature engineering, statistics"
AI Engineer,"tensorflow, llms, langchain, huggingface"
Blockchain Developer,"rust, hardhat, smart contracts, cryptography, solidity, ethereum, blockchain security, defi"
DevOps Engineer,"monitoring, jenkins, aws, bash, prometheus, linux, kubernetes"
Site Reliability Engineer,"aws, kubernetes, linux, docker"
Site Reliability Engineer,"docker, aws, incident management, linux, kubernetes, prometheus"
Network Engineer,"network security, routing, tcp/ip, firewalls, vpn"
Site Reliability Engineer,"aws, kubernetes, linux, monitoring"
Data Analyst,"dashboarding, data visualization, statistics, excel"
Site Reliability Engineer,"aws, docker, linux, monitoring"
Business Analyst,"data analysis, excel, requirement gathering, sql, jira"
Data Scientist,"deep learning, matplotlib, numpy, sql, python, machine learning, feature engineering, tensorflow"
Blockchain Developer,"web3, blockchain security, cryptography, polygon, rust, ethereum, smart contracts, defi"
AI Engineer,"transformers, openai api, langchain, rag, tensorflow, vector databases"
Site Reliability Engineer,"kubernetes, incident management, prometheus, linux"
Cloud Architect,"gcp, docker, aws, ci/cd, microservices, cloud security, linux"
Blockchain Developer,"web3, solidity, polygon, rust, smart contracts, ethereum, hardhat"
Mobile App Developer,"mobile ui, swift, dart, ios, flutter, react native"
Embedded Systems Engineer,"arduino, c++, c, iot"
Data Analyst,"statistics, tableau, sql, power bi, dashboarding, data visualization, pandas"
Machine Learning Engineer,"aws, computer vision, tensorflow, deep learning, fastapi"
Data Analyst,"dashboarding, sql, pandas, excel, tableau"
Blockchain Developer,"hardhat, blockchain security, web3, polygon, rust, smart contracts, solidity"
Software Tester,"api testing, jira, selenium, bug tracking, test cases, manual testing"
UI/UX Designer,"design systems, adobe xd, prototyping, figma, responsive design"
Data Scientist,"matplotlib, nlp, numpy, statistics"
Cybersecurity Analyst,"incident response, soc, linux, penetration testing"
Blockchain Developer,"blockchain security, defi, smart contracts, rust, hardhat"
Android Developer,"android studio, kotlin, jetpack compose, firebase"
Data Scientist,"tensorflow, pandas, numpy, sql, statistics, seaborn, deep learning, python"
Machine Learning Engineer,"deep learning, mlops, tensorflow, docker"
Backend Developer,"django, redis, spring boot, nodejs, microservices, python, mongodb, postgresql"
Data Analyst,"dashboarding, data visualization, python, tableau"
Software Tester,"selenium, bug tracking, test cases, api testing, jira, manual testing, automation testing"
Cybersecurity Analyst,"incident response, linux, siem, cryptography, penetration testing, firewalls, vulnerability assessment, ethical hacking"
Database Administrator,"sql, performance optimization, oracle, postgresql, database tuning, backup recovery, mysql"
Cloud Architect,"gcp, ci/cd, microservices, aws, linux, networking, kubernetes"
NLP Engineer,"transformers, bert, nlp, llms, python"
NLP Engineer,"sentiment analysis, bert, transformers, text classification, nlp, llms, python"
QA Engineer,"cypress, postman, automation testing, performance testing"
Business Analyst,"communication, jira, documentation, data analysis"
iOS Developer,"core data, api integration, swiftui, xcode, ios, swift, firebase"
Embedded Systems Engineer,"arduino, microcontrollers, c++, raspberry pi, c"
Software Tester,"manual testing, automation testing, selenium, test cases, jira, api testing"
iOS Developer,"firebase, core data, swiftui, xcode"
Frontend Developer,"tailwind, nextjs, react, bootstrap, javascript"
Embedded Systems Engineer,"iot, microcontrollers, c, arduino, c++, embedded linux"
Frontend Developer,"figma, redux, bootstrap, javascript, html, css, react, tailwind"
DevOps Engineer,"ansible, prometheus, jenkins, kubernetes, monitoring, github actions, terraform"
AR/VR Developer,"arcore, 3d modeling, arkit, vr interaction, unity, unreal engine"
Data Scientist,"numpy, machine learning, pandas, nlp, deep learning, statistics, scikit-learn"
Software Tester,"api testing, test cases, automation testing, manual testing, selenium"
Machine Learning Engineer,"deep learning, python, mlops, tensorflow, pytorch, computer vision, aws"
Business Analyst,"excel, jira, sql, power bi, documentation, communication, requirement gathering"
Game Developer,"blender, 3d graphics, multiplayer networking, c++, c#, unreal engine, game physics"
Data Analyst,"tableau, sql, pandas, excel, data visualization, dashboarding, python, statistics"
Computer Vision Engineer,"python, cnn, tensorflow, opencv, deep learning, object detection, yolo, image processing"
AR/VR Developer,"arkit, 3d modeling, arcore, unreal engine, vr interaction, unity"
Business Analyst,"documentation, power bi, sql, excel, communication, data analysis, requirement gathering, jira"
Site Reliability Engineer,"docker, terraform, incident management, linux, prometheus, kubernetes"
Software Tester,"jira, automation testing, api testing, test cases"
Game Developer,"c#, 3d graphics, unreal engine, c++, blender, multiplayer networking"
Database Administrator,"oracle, database tuning, performance optimization, sql, mysql"
Cybersecurity Analyst,"wireshark, firewalls, ethical hacking, vulnerability assessment"
Android Developer,"kotlin, material design, android studio, java, firebase, sqlite"
Software Tester,"jira, automation testing, test cases, api testing, bug tracking, manual testing"
QA Engineer,"selenium, automation testing, performance testing, postman, cypress"
AI Engineer,"vector databases, prompt engineering, nlp, deep learning, transformers, llms"
Game Developer,"c++, c#, blender, game physics"
iOS Developer,"swiftui, xcode, firebase, swift, core data, ios"
Full Stack Developer,"docker, sql, javascript, react, express, firebase"
Backend Developer,"postgresql, java, flask, rest api, redis"
Database Administrator,"sql, mysql, performance optimization, postgresql, database tuning"
Software Tester,"api testing, jira, test cases, manual testing, bug tracking, selenium, automation testing"
Machine Learning Engineer,"docker, pytorch, computer vision, model deployment"
Data Scientist,"python, sql, tensorflow, scikit-learn, nlp, pandas"
Cybersecurity Analyst,"siem, cryptography, soc, penetration testing, network security, linux, incident response"
DevOps Engineer,"jenkins, aws, kubernetes, ansible, github actions"
Cloud Architect,"ci/cd, gcp, cloud security, docker, networking, microservices, aws"
Network Engineer,"vpn, switching, linux, network security, firewalls"
Full Stack Developer,"javascript, python, nodejs, mongodb, docker, django, tailwind"
Network Engineer,"firewalls, network security, vpn, routing, tcp/ip, switching, linux"
iOS Developer,"swiftui, ios, api integration, firebase, core data, xcode, swift"
Backend Developer,"postgresql, flask, redis, python, microservices"
Frontend Developer,"html, redux, javascript, tailwind, angular, bootstrap, vue, css"
Data Analyst,"data visualization, tableau, excel, power bi"
Game Developer,"blender, multiplayer networking, unreal engine, game physics, 3d graphics, c++, unity, c#"
Database Administrator,"sql, mysql, database tuning, postgresql, backup recovery, performance optimization, oracle"
UI/UX Designer,"prototyping, design systems, adobe xd, figma"
NLP Engineer,"huggingface, sentiment analysis, nlp, transformers, python, llms, bert, text classification"
Database Administrator,"database tuning, backup recovery, postgresql, oracle, performance optimization"
AR/VR Developer,"c#, unity, arcore, unreal engine, vr interaction, 3d modeling"
NLP Engineer,"nlp, llms, bert, sentiment analysis, text classification"
Full Stack Developer,"javascript, firebase, tailwind, python, nodejs, django, docker, rest api"
Backend Developer,"microservices, python, django, express, java, nodejs, flask, mongodb"
DevOps Engineer,"ansible, linux, kubernetes, aws"
Business Analyst,"requirement gathering, jira, data analysis, documentation"
DevOps Engineer,"aws, github actions, ansible, bash, monitoring, jenkins, docker"
Full Stack Developer,"python, sql, react, firebase, rest api, nodejs, docker, tailwind"
Cybersecurity Analyst,"network security, cryptography, incident response, soc, linux, penetration testing, siem, wireshark"
QA Engineer,"automation testing, api testing, postman, cypress"
Site Reliability Engineer,"linux, kubernetes, prometheus, incident management, aws, terraform, docker"
DevOps Engineer,"github actions, ansible, jenkins, aws"
Blockchain Developer,"solidity, web3, blockchain security, defi"
Backend Developer,"express, rest api, spring boot, python, mongodb, postgresql, microservices, django"
AR/VR Developer,"c#, arcore, unreal engine, 3d modeling, arkit, vr interaction, unity"
Full Stack Developer,"nodejs, javascript, firebase, rest api, python"
NLP Engineer,"nlp, python, huggingface, transformers, bert, sentiment analysis, text classification"
QA Engineer,"api testing, postman, selenium, cypress"
Frontend Developer,"bootstrap, figma, tailwind, redux, css, angular, html"
Android Developer,"kotlin, rest api, java, material design, firebase, android studio, jetpack compose, sqlite"
Data Analyst,"tableau, python, excel, data visualization, sql"
Cybersecurity Analyst,"soc, siem, vulnerability assessment, wireshark"
Backend Developer,"mongodb, python, express, postgresql, redis, java"
Android Developer,"material design, sqlite, android studio, firebase, kotlin"
DevOps Engineer,"linux, monitoring, jenkins, prometheus, bash, terraform, github actions"
iOS Developer,"swiftui, ios, swift, firebase, xcode, api integration"
Data Scientist,"numpy, statistics, tensorflow, python, matplotlib"
Cloud Architect,"linux, gcp, microservices, kubernetes, docker, azure, cloud security"
Data Analyst,"dashboarding, sql, power bi, data visualization, excel, pandas, python, statistics"
Machine Learning Engineer,"mlops, fastapi, flask, docker, computer vision"
Machine Learning Engineer,"docker, aws, computer vision, tensorflow, fastapi, flask"
Embedded Systems Engineer,"c, raspberry pi, microcontrollers, arduino, embedded linux, c++, iot"
NLP Engineer,"transformers, nlp, llms, huggingface, sentiment analysis, bert, text classification, python"
Business Analyst,"power bi, excel, documentation, jira, communication"
Blockchain Developer,"hardhat, web3, solidity, blockchain security, polygon, rust, smart contracts, defi"
Cybersecurity Analyst,"linux, incident response, penetration testing, network security, ethical hacking, cryptography, vulnerability assessment, soc"
Data Analyst,"dashboarding, excel, tableau, sql"
Android Developer,"java, material design, kotlin, android studio, firebase, rest api"
AR/VR Developer,"3d modeling, unreal engine, unity, arkit, c#, vr interaction"
Game Developer,"c#, game physics, unity, 3d graphics"
Business Analyst,"communication, requirement gathering, documentation, jira, data analysis"
Business Analyst,"excel, requirement gathering, documentation, sql, power bi, data analysis"
QA Engineer,"cypress, api testing, selenium, postman, performance testing, automation testing"
Software Tester,"api testing, test cases, manual testing, selenium, jira, automation testing, bug tracking"
Cybersecurity Analyst,"network security, vulnerability assessment, linux, siem, soc"
AI Engineer,"tensorflow, nlp, rag, llms"
Full Stack Developer,"express, docker, python, react, firebase"
Network Engineer,"tcp/ip, cisco, vpn, routing, linux, firewalls, network security"
Cybersecurity Analyst,"incident response, vulnerability assessment, cryptography, linux, penetration testing"
Machine Learning Engineer,"flask, docker, python, aws, kubernetes, pytorch, mlops"
Backend Developer,"express, postgresql, nodejs, django"
Computer Vision Engineer,"tensorflow, image processing, cnn, deep learning, opencv"
Data Scientist,"sql, matplotlib, pandas, machine learning, tensorflow, deep learning, scikit-learn, seaborn"
iOS Developer,"xcode, core data, ios, swift, firebase, api integration, swiftui"
Frontend Developer,"react, bootstrap, html, responsive design, tailwind"
Cloud Architect,"terraform, gcp, aws, linux"
Site Reliability Engineer,"terraform, prometheus, aws, incident management, linux, monitoring, kubernetes, docker"
Data Analyst,"data visualization, pandas, excel, python, dashboarding"
Full Stack Developer,"docker, javascript, django, mongodb, python"
Computer Vision Engineer,"object detection, cnn, yolo, tensorflow, deep learning"
Game Developer,"unreal engine, unity, blender, 3d graphics, c#"
Network Engineer,"routing, cisco, firewalls, linux, tcp/ip, network security, vpn"
Data Scientist,"tensorflow, pandas, matplotlib, scikit-learn, numpy, machine learning, python, sql"
Android Developer,"sqlite, material design, kotlin, rest api, java, android studio, jetpack compose, firebase"
Mobile App Developer,"firebase, kotlin, react native, ios, dart, mobile ui, android"
Data Analyst,"dashboarding, data visualization, sql, power bi"
NLP Engineer,"huggingface, text classification, llms, nlp, transformers"
iOS Developer,"firebase, api integration, ios, swift"
Machine Learning Engineer,"computer vision, aws, kubernetes, model deployment, deep learning, flask"
Computer Vision Engineer,"opencv, python, image processing, deep learning, yolo"
Software Tester,"automation testing, jira, bug tracking, selenium, api testing, manual testing"
Software Tester,"api testing, selenium, bug tracking, manual testing"
Cloud Architect,"networking, azure, aws, docker, linux, gcp"
Software Tester,"api testing, selenium, jira, manual testing, automation testing, bug tracking, test cases"
DevOps Engineer,"prometheus, github actions, ansible, terraform, jenkins, monitoring, docker, aws"
Frontend Developer,"tailwind, nextjs, vue, bootstrap, figma"
Machine Learning Engineer,"fastapi, flask, pytorch, mlops, aws"
UI/UX Designer,"responsive design, wireframing, design systems, adobe xd, user research, figma, prototyping"
Machine Learning Engineer,"docker, tensorflow, kubernetes, computer vision, mlops, fastapi, model deployment"
iOS Developer,"core data, swiftui, xcode, swift"
NLP Engineer,"python, bert, huggingface, nlp, llms, sentiment analysis"
Backend Developer,"flask, microservices, express, rest api, redis, python, django, mongodb"
Cloud Architect,"azure, networking, docker, aws, microservices, kubernetes, gcp, linux"
Database Administrator,"oracle, performance optimization, mysql, database tuning"
Data Analyst,"statistics, tableau, data visualization, sql, dashboarding"
Backend Developer,"java, spring boot, nodejs, mongodb, django, microservices"
QA Engineer,"selenium, automation testing, api testing, performance testing"
AI Engineer,"openai api, tensorflow, rag, transformers"
QA Engineer,"automation testing, cypress, postman, performance testing, api testing, selenium"
Database Administrator,"oracle, backup recovery, sql, performance optimization"
AR/VR Developer,"unreal engine, c#, arcore, unity, vr interaction, 3d modeling, arkit"
DevOps Engineer,"kubernetes, docker, ansible, prometheus, linux, monitoring, jenkins"
Site Reliability Engineer,"incident management, aws, monitoring, kubernetes, linux"
Cybersecurity Analyst,"siem, cryptography, wireshark, soc, incident response, ethical hacking, penetration testing"
Game Developer,"multiplayer networking, unity, c++, unreal engine, game physics, 3d graphics, blender, c#"
DevOps Engineer,"monitoring, github actions, bash, linux, terraform, docker, prometheus"
Backend Developer,"django, java, postgresql, express, microservices"
Data Scientist,"sql, numpy, matplotlib, feature engineering, statistics, seaborn, tensorflow"
Database Administrator,"sql, oracle, performance optimization, backup recovery"
Embedded Systems Engineer,"c, iot, embedded linux, microcontrollers, c++, arduino"
Data Scientist,"seaborn, sql, matplotlib, numpy, python, tensorflow, pandas, machine learning"
DevOps Engineer,"monitoring, aws, terraform, jenkins, ansible, docker"
Mobile App Developer,"firebase, swift, mobile ui, dart, kotlin, api integration, flutter, ios"
UI/UX Designer,"prototyping, adobe xd, design systems, responsive design, wireframing, user research, figma"
Backend Developer,"spring boot, nodejs, microservices, flask, express"
Backend Developer,"microservices, express, java, django, rest api, spring boot, flask, mongodb"
Cloud Architect,"networking, aws, microservices, azure, docker, kubernetes"
Backend Developer,"rest api, flask, nodejs, django, mongodb, express, java, redis"
Database Administrator,"oracle, mysql, backup recovery, sql, performance optimization"
Mobile App Developer,"mobile ui, flutter, api integration, kotlin, react native, swift, dart, android"
Machine Learning Engineer,"aws, python, mlops, kubernetes, tensorflow"
Android Developer,"sqlite, jetpack compose, material design, firebase, rest api, java, kotlin"
Software Tester,"jira, selenium, automation testing, test cases, manual testing"
Blockchain Developer,"polygon, smart contracts, solidity, cryptography, hardhat, defi, blockchain security, rust"
Site Reliability Engineer,"monitoring, linux, kubernetes, docker, terraform, prometheus, aws"
AR/VR Developer,"arcore, 3d modeling, arkit, vr interaction, unity, c#, unreal engine"
DevOps Engineer,"docker, linux, prometheus, ansible, jenkins, aws, github actions, bash"
Database Administrator,"postgresql, oracle, performance optimization, mysql, backup recovery, database tuning"
AR/VR Developer,"arcore, unreal engine, unity, arkit, vr interaction, 3d modeling"
Embedded Systems Engineer,"iot, raspberry pi, c++, embedded linux, c"
Data Scientist,"matplotlib, machine learning, deep learning, feature engineering"
Machine Learning Engineer,"kubernetes, computer vision, fastapi, deep learning, flask, pytorch, aws, tensorflow"
Android Developer,"firebase, material design, kotlin, android studio, java, rest api, jetpack compose"
Software Tester,"selenium, manual testing, bug tracking, automation testing, test cases, api testing"
iOS Developer,"xcode, firebase, api integration, swiftui, swift, core data, ios"
Software Tester,"automation testing, api testing, bug tracking, selenium, manual testing, test cases"
Blockchain Developer,"rust, polygon, smart contracts, blockchain security, web3"
Cloud Architect,"linux, cloud security, azure, gcp, ci/cd, networking"
Game Developer,"c++, multiplayer networking, blender, unreal engine, game physics, c#, 3d graphics, unity"
Site Reliability Engineer,"monitoring, incident management, aws, kubernetes, terraform, docker, linux"
Cybersecurity Analyst,"wireshark, linux, ethical hacking, soc, vulnerability assessment, cryptography, siem, network security"
AR/VR Developer,"vr interaction, unity, c#, arcore, unreal engine, arkit"
Frontend Developer,"figma, react, angular, javascript, vue, tailwind, css"
Data Scientist,"nlp, sql, feature engineering, numpy, pandas, deep learning, statistics, machine learning"
Network Engineer,"network security, vpn, firewalls, switching, linux, cisco"
Data Scientist,"statistics, tensorflow, deep learning, nlp"
Cybersecurity Analyst,"incident response, vulnerability assessment, wireshark, penetration testing"
Android Developer,"kotlin, firebase, android studio, material design, jetpack compose, java, rest api"
QA Engineer,"api testing, performance testing, cypress, automation testing, selenium"
Cybersecurity Analyst,"linux, ethical hacking, soc, siem, incident response"
AR/VR Developer,"vr interaction, arkit, unreal engine, unity, c#, 3d modeling, arcore"
DevOps Engineer,"monitoring, github actions, ansible, aws"
Business Analyst,"sql, data analysis, jira, requirement gathering"
Embedded Systems Engineer,"c++, iot, microcontrollers, embedded linux, raspberry pi"
Site Reliability Engineer,"linux, monitoring, docker, kubernetes, aws, incident management, terraform, prometheus"
DevOps Engineer,"prometheus, linux, bash, kubernetes, jenkins, terraform, github actions"
Cloud Architect,"networking, docker, terraform, kubernetes"
Machine Learning Engineer,"mlops, tensorflow, computer vision, flask, fastapi, deep learning"
NLP Engineer,"transformers, llms, sentiment analysis, text classification, python, nlp, bert"
Cybersecurity Analyst,"soc, firewalls, siem, incident response, cryptography"
Site Reliability Engineer,"monitoring, prometheus, aws, terraform, kubernetes"
QA Engineer,"postman, cypress, selenium, automation testing, api testing, performance testing"
UI/UX Designer,"user research, design systems, prototyping, responsive design, adobe xd, wireframing, figma"
AI Engineer,"nlp, vector databases, openai api, rag, huggingface, transformers, python"
AR/VR Developer,"unreal engine, c#, arcore, arkit, vr interaction, 3d modeling, unity"
Business Analyst,"requirement gathering, data analysis, jira, documentation, excel, communication, power bi, sql"
Backend Developer,"flask, microservices, django, java, spring boot"
Software Tester,"api testing, test cases, manual testing, automation testing"
UI/UX Designer,"user research, figma, wireframing, adobe xd"
Database Administrator,"sql, mysql, database tuning, oracle, backup recovery"
Machine Learning Engineer,"pytorch, deep learning, aws, computer vision, fastapi, kubernetes, python"
iOS Developer,"swift, api integration, swiftui, firebase, ios, xcode"
Data Scientist,"nlp, scikit-learn, seaborn, feature engineering, sql, numpy, matplotlib"
Embedded Systems Engineer,"iot, raspberry pi, arduino, c++"
AR/VR Developer,"arkit, c#, unity, vr interaction, arcore"
AR/VR Developer,"arcore, vr interaction, unreal engine, unity, c#"
Cloud Architect,"networking, terraform, aws, kubernetes"
Blockchain Developer,"web3, cryptography, smart contracts, ethereum"
Mobile App Developer,"flutter, kotlin, dart, firebase, react native, ios, swift, mobile ui"
Machine Learning Engineer,"flask, tensorflow, fastapi, aws, kubernetes, mlops"
Site Reliability Engineer,"terraform, incident management, prometheus, docker"
Mobile App Developer,"android, react native, kotlin, ios, api integration, flutter, swift, mobile ui"
UI/UX Designer,"adobe xd, figma, prototyping, user research, responsive design"
AI Engineer,"langchain, rag, vector databases, deep learning, huggingface"
DevOps Engineer,"aws, kubernetes, bash, github actions, jenkins, ansible, linux, monitoring"
NLP Engineer,"python, text classification, sentiment analysis, bert"
UI/UX Designer,"adobe xd, prototyping, user research, figma, responsive design, design systems"
Computer Vision Engineer,"yolo, python, tensorflow, deep learning, image processing, object detection, cnn"
Blockchain Developer,"ethereum, smart contracts, cryptography, web3"
Game Developer,"c++, 3d graphics, blender, multiplayer networking, game physics"
Android Developer,"rest api, java, firebase, sqlite, kotlin, jetpack compose, material design, android studio"
QA Engineer,"selenium, performance testing, automation testing, api testing, postman, cypress"
Embedded Systems Engineer,"iot, embedded linux, c, c++, arduino"
iOS Developer,"ios, swiftui, firebase, core data, swift"
AR/VR Developer,"c#, unreal engine, arkit, vr interaction, 3d modeling, unity"
iOS Developer,"firebase, ios, swiftui, core data, xcode, api integration, swift"
Backend Developer,"spring boot, nodejs, redis, postgresql, django, express, mongodb, java"
Android Developer,"jetpack compose, kotlin, rest api, android studio"
QA Engineer,"selenium, automation testing, cypress, performance testing"
Network Engineer,"vpn, tcp/ip, linux, switching, cisco, routing, network security, firewalls"
Blockchain Developer,"solidity, blockchain security, polygon, cryptography"
iOS Developer,"api integration, swiftui, ios, core data, swift, xcode, firebase"
Mobile App Developer,"mobile ui, kotlin, firebase, flutter, dart"
Software Tester,"jira, manual testing, selenium, api testing, test cases, bug tracking"
Machine Learning Engineer,"model deployment, tensorflow, pytorch, flask, mlops, fastapi, computer vision, deep learning"
Data Scientist,"seaborn, scikit-learn, machine learning, numpy, feature engineering, matplotlib, nlp"
Business Analyst,"communication, excel, documentation, power bi, jira, sql"
Business Analyst,"sql, communication, requirement gathering, power bi, excel, jira, data analysis"
Software Tester,"test cases, bug tracking, selenium, api testing"
AR/VR Developer,"vr interaction, 3d modeling, unreal engine, arkit, unity, c#"
Full Stack Developer,"rest api, react, express, sql, firebase, docker, nodejs, mongodb"
Full Stack Developer,"sql, mongodb, react, express, firebase, javascript, django, tailwind"
Game Developer,"c++, c#, 3d graphics, multiplayer networking, unreal engine, blender"
Backend Developer,"java, nodejs, flask, postgresql, django, spring boot, microservices"
Data Analyst,"power bi, dashboarding, data visualization, pandas, python, sql"
NLP Engineer,"bert, python, text classification, nlp, huggingface, transformers, llms"
AR/VR Developer,"arkit, c#, vr interaction, unity, arcore, 3d modeling"
Game Developer,"multiplayer networking, c#, c++, unreal engine, blender, game physics"
Database Administrator,"performance optimization, database tuning, postgresql, sql, backup recovery, mysql"
Cybersecurity Analyst,"linux, cryptography, penetration testing, wireshark, incident response, siem, ethical hacking"
Site Reliability Engineer,"docker, incident management, linux, aws"
Data Scientist,"tensorflow, statistics, pandas, python, deep learning"
Cloud Architect,"aws, linux, ci/cd, microservices, gcp, terraform, kubernetes"
Machine Learning Engineer,"pytorch, model deployment, mlops, flask, tensorflow, python"
AI Engineer,"huggingface, llms, langchain, transformers, python, rag"
Data Scientist,"sql, python, feature engineering, scikit-learn, seaborn, deep learning, machine learning, nlp"
Data Analyst,"statistics, python, tableau, dashboarding, pandas, excel, data visualization"
DevOps Engineer,"ansible, prometheus, kubernetes, github actions, terraform, aws, linux"
Mobile App Developer,"swift, flutter, dart, firebase, api integration"
Backend Developer,"express, postgresql, microservices, nodejs"
Site Reliability Engineer,"linux, kubernetes, prometheus, terraform"
Data Analyst,"dashboarding, python, pandas, tableau, statistics, sql, data visualization, power bi"
Site Reliability Engineer,"linux, incident management, monitoring, aws, docker, prometheus"
